ERROR|11:04:29{scheduling-1} 231-sendPost4 'http://localhost:8080' ERROR: java.net.ConnectException: Connection refused: no further information
INFO |11:04:29{scheduling-1} 412-Evolution não encontrada!
INFO |11:04:34{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
ERROR|11:04:34{scheduling-1} 231-sendPost4 'http://localhost:8080' ERROR: java.net.ConnectException: Connection refused: no further information
INFO |11:04:34{scheduling-1} 412-Evolution não encontrada!
ERROR|11:04:34{Timer-0} 231-sendPost4 'http://localhost:8080/instance/fetchInstances?instanceName=box' ERROR: java.net.ConnectException: Connection refused: connect
ERROR|11:04:34{Timer-0} 148-fetchMUltiInstanceERRO! getResponseCode() = -1
ERROR|11:04:34{Timer-0} 149-java.net.ConnectException: Connection refused: connect
ERROR|11:04:34{Timer-0} 231-sendPost4 'http://localhost:8080/instance/create' ERROR: java.net.ConnectException: Connection refused: connect
INFO |11:04:39{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
ERROR|11:04:39{scheduling-1} 231-sendPost4 'http://localhost:8080' ERROR: java.net.ConnectException: Connection refused: no further information
